iter	Passed	Remaining
399	37148	55722
400	37236	55622
401	37313	55505
402	37404	55411
403	37484	55299
404	37569	55194
405	37654	55090
406	37728	54971
407	37857	54930
408	37961	54853
409	38034	54732
410	38109	54613
411	38188	54501
412	38267	54390
413	38354	54288
414	38452	54204
415	38546	54113
416	38609	53979
417	38693	53874
418	38793	53792
419	38875	53684
420	38967	53591
421	39055	53493
422	39161	53419
423	39247	53317
424	39341	53227
425	39424	53121
426	39502	53009
427	39575	52890
428	39662	52791
429	39728	52662
430	39807	52553
431	39889	52447
432	39963	52331
433	40047	52227
434	40113	52101
435	40195	51996
436	40276	51888
437	40371	51801
438	40466	51711
439	40543	51600
440	40624	51494
441	40688	51367
442	40769	51261
443	40832	51133
444	40921	51037
445	41007	50938
446	41083	50826
447	41156	50710
448	41219	50583
449	41283	50457
450	41377	50368
451	41454	50259
452	41532	50150
453	41598	50027
454	41695	49943
455	41786	49850
456	41887	49769
457	41960	49655
458	42036	49546
459	42143	49472
460	42238	49384
461	42332	49296
462	42408	49186
463	42501	49096
464	42587	48998
465	42673	48901
466	42761	48805
467	42842	48701
468	42936	48612
469	43020	48512
470	43121	48431
471	43202	48328
472	43289	48231
473	43435	48200
474	43598	48187
475	43715	48123
476	43851	48080
477	43941	47986
478	44081	47946
479	44184	47866
480	44363	47868
481	44664	48000
482	44960	48124
483	45144	48129
484	45226	48023
485	45302	47912
486	45424	47849
487	45589	47831
488	45671	47726
489	45758	47626
490	45851	47532
491	46020	47516
492	46167	47478
493	46309	47434
494	46423	47361
495	46497	47247
496	46607	47170
497	46714	47090
498	46817	47005
499	46895	46895
500	47014	46827
501	47086	46711
502	47199	46636
503	47314	46563
504	47416	46478
505	47500	46373
506	47597	46282
507	47695	46193
508	47941	46245
509	48155	46266
510	48257	46179
511	48400	46131
512	48595	46132
513	48714	46060
514	48807	45964
515	48909	45875
516	49039	45814
517	49159	45743
518	49275	45668
519	49403	45603
520	49486	45496
521	49595	45415
522	49691	45320
523	49799	45237
524	50040	45274
525	50207	45244
526	50372	45211
527	50695	45318
528	51011	45418
529	51231	45431
530	51484	45473
531	51696	45477
532	51889	45464
533	52077	45445
534	52242	45406
535	52406	45366
536	52592	45345
537	52723	45275
538	52856	45207
539	52997	45146
540	53137	45083
541	53603	45295
542	53864	45333
543	54081	45333
544	54186	45238
545	54480	45300
546	54712	45310
547	54865	45254
548	54996	45179
549	55126	45103
550	55315	45075
551	55426	44983
552	55504	44865
553	55588	44752
554	55752	44702
555	55989	44711
556	56101	44619
557	56227	44538
558	56357	44460
559	56504	44396
560	56648	44329
561	56750	44229
562	56873	44145
563	56953	44027
564	57093	43956
565	57212	43869
566	57342	43790
567	57429	43678
568	57505	43558
569	57573	43432
570	57674	43331
571	57753	43214
572	57840	43102
573	57946	43005
574	58053	42908
575	58137	42795
576	58233	42691
577	58302	42566
578	58389	42455
579	58479	42347
580	58568	42237
581	58690	42152
582	58795	42054
583	58907	41961
584	58983	41843
585	59106	41757
586	59219	41665
587	59329	41571
588	59424	41466
589	59513	41356
590	59595	41242
591	59690	41137
592	59797	41041
593	59891	40935
594	59969	40819
595	60060	40712
596	60158	40609
597	60251	40503
598	60327	40385
599	60428	40285
600	60536	40189
601	60645	40094
602	60737	39988
603	60919	39940
604	61073	39874
605	61167	39769
606	61268	39668
607	61369	39566
608	61462	39461
609	61569	39363
610	61663	39258
611	61755	39152
612	61877	39064
613	62032	38997
614	62176	38923
615	62285	38827
616	62392	38729
617	62466	38611
618	62559	38506
619	62641	38393
620	62764	38305
621	62882	38214
622	62972	38107
623	63045	37989
624	63145	37887
625	63304	37820
626	63419	37728
627	63523	37628
628	63610	37519
629	63758	37445
630	63903	37369
631	64017	37276
632	64122	37176
633	64256	37094
634	64419	37028
635	64505	36918
636	64575	36798
637	64694	36707
638	64851	36637
639	64978	36550
640	65051	36432
641	65141	36324
642	65231	36217
643	65319	36108
644	65438	36016
645	65569	35931
646	65674	35831
647	65793	35739
648	65876	35628
649	65967	35520
650	66058	35413
651	66178	35322
