iter	RMSE
482	324.7966542
483	324.6309293
484	324.5468078
485	324.351361
486	324.1796052
487	324.0473706
488	323.9525101
489	323.8586691
490	323.656452
491	323.4846544
492	323.3483347
493	323.2704545
494	323.1965666
495	323.0974171
496	323.0053064
497	322.9065168
498	322.7563328
499	322.6637196
500	322.5295513
501	322.3756148
502	322.2912662
503	322.1933488
504	322.0375064
505	321.8758048
506	321.7267134
507	321.5947382
508	321.4394226
509	321.2889724
510	321.1357432
511	321.0459542
512	320.9535255
513	320.8340996
514	320.6503523
515	320.5783817
516	320.4422337
517	320.2982332
518	320.17531
519	319.999796
520	319.9252743
521	319.8102156
522	319.7034861
523	319.5689507
524	319.4711177
525	319.33875
526	319.2832009
527	319.1002307
528	318.9867989
529	318.9105571
530	318.8536528
531	318.7170328
532	318.6416619
533	318.5054468
534	318.4242552
535	318.321009
536	318.2006507
537	318.045135
538	317.8901421
539	317.788364
540	317.7076496
541	317.5840733
542	317.4956058
543	317.3514828
544	317.2432308
545	317.1228369
546	317.0392063
547	316.9694327
548	316.9045781
549	316.8416551
550	316.7146885
551	316.6493523
552	316.5186599
553	316.3714088
554	316.2430755
555	316.1554373
556	315.9873196
557	315.8901756
558	315.7605594
559	315.6053948
560	315.5296802
561	315.3892434
562	315.2679772
563	315.169429
564	315.0398788
565	314.929308
566	314.7905676
567	314.6613437
568	314.5316563
569	314.4581156
570	314.398116
571	314.2788522
572	314.1514235
573	314.0492709
574	313.9656126
575	313.8928807
576	313.7515145
577	313.6341787
578	313.5247268
579	313.391078
580	313.3018803
581	313.2369025
582	313.0852495
583	312.9565248
584	312.8887485
585	312.8216162
586	312.7083701
587	312.6612824
588	312.5423314
589	312.4457494
590	312.3825417
591	312.2730908
592	312.1549933
593	312.0545079
594	311.9441681
595	311.8485071
596	311.7593279
597	311.6659139
598	311.5457571
599	311.4516789
600	311.3483619
601	311.2821054
602	311.2068935
603	311.0667202
604	310.9539188
605	310.8828925
606	310.7745979
607	310.6916194
608	310.5744076
609	310.4642478
610	310.4089718
611	310.3266073
612	310.2364193
613	310.1810904
614	310.0827821
615	310.002669
616	309.9443345
617	309.8413415
618	309.7231536
619	309.6620654
620	309.5682211
621	309.5091429
622	309.4126328
623	309.3580285
624	309.2484118
625	309.1549718
626	309.0572274
627	308.9466287
628	308.8561852
629	308.7838398
630	308.6563375
631	308.5839202
632	308.4819137
633	308.4091282
634	308.3524269
635	308.2646552
636	308.1654119
637	308.0491061
638	307.9395994
639	307.8186308
640	307.7672698
641	307.7099712
642	307.668739
643	307.5832045
644	307.5343774
645	307.4253052
646	307.3546497
647	307.235149
648	307.0846077
649	306.9937639
650	306.9381782
651	306.8775075
652	306.7781144
653	306.6999554
654	306.5992615
655	306.5122748
656	306.4678135
657	306.3506972
658	306.2218688
659	306.1681705
660	306.1007635
661	306.0156521
662	305.9507555
663	305.8809849
664	305.8221685
665	305.7523374
666	305.7071462
667	305.6025599
668	305.5018784
669	305.4480536
670	305.3568808
671	305.2464112
672	305.1413044
673	305.0878716
674	304.9911804
675	304.9042203
676	304.8459069
677	304.7831415
678	304.7426448
679	304.6539538
680	304.587804
681	304.4952753
682	304.4488613
683	304.4061552
684	304.3153702
685	304.2621703
686	304.175345
687	304.1344769
688	304.0586054
689	303.9919272
690	303.8877256
691	303.8150238
692	303.7666407
693	303.6906313
694	303.6359687
695	303.5449889
696	303.4653919
697	303.3615273
698	303.2678475
699	303.2232689
700	303.1866768
701	303.1104569
702	302.9959401
703	302.9060378
704	302.8507828
705	302.8015434
706	302.7186494
707	302.6300365
708	302.5812343
709	302.5133693
710	302.462591
711	302.4119979
712	302.3651452
713	302.3023645
714	302.2228015
715	302.1353441
716	302.0364229
717	301.9673114
718	301.9262395
719	301.8793264
720	301.8030442
721	301.7185942
722	301.6351708
723	301.5554632
724	301.4611967
725	301.4126336
726	301.3312473
727	301.2665154
728	301.1891525
729	301.1525156
730	301.0755196
731	301.0265981
732	300.9387429
733	300.875115
734	300.7855331
735	300.7074754
736	300.6454807
737	300.5632006
738	300.4989223
739	300.4630554
740	300.3935205
741	300.3355544
742	300.2909625
743	300.2142686
744	300.1730085
745	300.0808978
746	300.0036087
747	299.9142041
748	299.8548474
749	299.7865363
750	299.7504484
751	299.6848828
752	299.5879222
753	299.5323341
754	299.4495499
755	299.4105905
756	299.3300358
757	299.2568229
758	299.2240908
759	299.1494064
760	299.064241
761	298.9912096
762	298.9294291
763	298.8810065
764	298.8441536
765	298.8107863
766	298.7040206
767	298.6339143
768	298.5338598
769	298.4555508
770	298.3872132
771	298.3308692
772	298.2564786
773	298.1968332
774	298.1408144
775	298.0924885
776	298.0523346
777	298.0023924
778	297.9025812
779	297.8467047
780	297.8100418
781	297.7343318
782	297.6530557
783	297.5756545
784	297.4663527
785	297.3904193
786	297.3485525
787	297.2676461
788	297.1888314
789	297.150432
790	297.0860801
791	297.0292524
792	296.9913346
793	296.9327015
794	296.8538802
795	296.7544397
796	296.6957387
797	296.654963
798	296.5815381
799	296.4945999
800	296.4403644
801	296.3708806
802	296.3181921
803	296.2845605
804	296.2548796
805	296.2269362
806	296.1834638
807	296.1265629
808	296.0517012
809	295.9983206
810	295.9315871
811	295.8735364
812	295.8000507
813	295.7377886
814	295.6472137
815	295.5983336
816	295.5345391
817	295.4731054
818	295.3924758
819	295.3406889
820	295.2734377
821	295.2162789
822	295.1582778
823	295.0984492
824	295.0326783
825	294.9633725
826	294.8794521
827	294.827953
828	294.7564473
829	294.6895349
830	294.639976
831	294.5586641
832	294.4893593
833	294.4530212
834	294.390106
835	294.3493422
836	294.2997426
837	294.2651399
838	294.1897912
839	294.12817
840	294.0736733
841	293.996488
842	293.9425132
843	293.8555726
844	293.7927833
845	293.7427284
846	293.7022208
847	293.6214726
848	293.5384929
849	293.4641797
850	293.3939639
851	293.3484101
852	293.3165564
853	293.2843569
854	293.2381062
855	293.1772432
856	293.131014
857	293.0621751
858	292.9851595
859	292.9486858
860	292.9004663
861	292.8256727
862	292.7737812
863	292.7182214
864	292.65324
865	292.6190754
866	292.5562199
867	292.4849989
868	292.4238636
869	292.379997
870	292.3488312
871	292.2837791
872	292.221152
873	292.1751865
874	292.1225411
875	292.0559174
876	292.0008419
877	291.9506593
878	291.8852382
879	291.8193282
880	291.754895
881	291.6902691
882	291.6367156
883	291.5717493
884	291.5202937
885	291.4434291
886	291.4044371
887	291.3731597
888	291.339714
889	291.2943811
890	291.2153786
891	291.1492226
892	291.0897422
893	291.0174865
894	290.9489087
895	290.8896958
896	290.8309461
897	290.7860457
898	290.719198
899	290.6606825
900	290.6319913
901	290.590802
902	290.5416568
903	290.5024888
904	290.4446276
905	290.4033345
906	290.3490476
907	290.2835044
908	290.2260045
909	290.1554229
910	290.0972995
911	290.0484322
912	289.9813165
913	289.92032
914	289.8736022
915	289.8007659
916	289.7639158
917	289.707619
918	289.6780702
919	289.6208493
920	289.5745352
921	289.5311867
922	289.5062842
923	289.4260263
924	289.366014
925	289.2940378
926	289.2428666
927	289.1742206
928	289.151232
929	289.1064669
930	289.0717902
931	289.018338
932	288.9761406
933	288.9131193
934	288.8426759
935	288.8081036
936	288.7652249
937	288.7175907
938	288.6909355
939	288.659338
940	288.6169509
941	288.5624805
942	288.5067996
943	288.4497801
944	288.3963396
945	288.3625616
946	288.3368938
947	288.2899431
948	288.2648193
949	288.1920163
950	288.1600183
951	288.1027977
952	288.0626808
953	288.0369946
954	287.978095
955	287.9203709
956	287.8742631
957	287.8240147
958	287.7753836
959	287.733908
960	287.6913259
961	287.6533368
962	287.6004939
963	287.5600574
964	287.5285029
965	287.4855212
966	287.4424218
967	287.392471
968	287.3594196
969	287.3294006
970	287.2519999
971	287.1868366
972	287.1468795
973	287.1195784
974	287.0600919
975	287.0108147
976	286.9588761
977	286.9179477
978	286.8926657
979	286.8566921
980	286.7914818
981	286.7414522
982	286.6930138
983	286.6350703
984	286.5787882
985	286.5340912
986	286.5059916
987	286.4332546
988	286.4042448
989	286.3464027
990	286.2973804
991	286.259026
992	286.2233938
993	286.1549716
994	286.1087434
995	286.0701817
996	286.04057
997	285.9887409
998	285.9624601
999	285.9381314
